species,gear_type,year,ocean,value
ALB,BB,1990,ATL,5249.35
BET,LL,1965,ATL,28445.78
BET,OTHER_A,2002,ATL,13.83
SKJ,BB,1988,PAC_W,298832.29
MLS,LL,1959,PAC_W,391.05
BET,PS,2001,PAC_E,46449.64
BUM,LL,1960,IND,3873.76
MLS,LL,1981,IND,5984.97
SWO,LL,1993,PAC_W,19554.87
SSP,LL,2004,PAC_W,368.41
YFT,LL,1988,ATL,20250.01
SWO,LL,1970,PAC_E,4145.86
SBF,LL,2001,PAC_E,1.11
ALB,OTHER_I,2005,IND,70.28
BLM,LL,1986,PAC_W,1122.69
SWO,LL,1962,PAC_W,10399.44
SWO,LL,1973,IND,1454.66
SWO,LL,1983,IND,3356.16
BET,LL,1976,ATL,19245.25
SKJ,BB,1987,PAC_E,2184.07
SWO,LL,1967,ATL,1143.65
BLM,LL,1987,IND,989.50
SKJ,BB,1976,PAC_W,270869.21
BUM,LL,2003,IND,4866.65
YFT,BB,1978,IND,3941.82
YFT,PS,2001,PAC_E,351800.31
ALB,OTHER_A,1984,ATL,11.00
ALB,BB,1989,ATL,6836.41
SWO,LL,1996,PAC_W,14802.40
BFT,OTHER_A,2004,ATL,476.84
ALB,PS,2005,ATL,86.82
ALB,BB,1998,PAC_W,22981.94
YFT,OTHER_A,2002,ATL,1164.39
SKJ,OTHER_A,1982,ATL,2807.32
BFT,PS,1968,PAC_E,5961.42
BUM,LL,1997,PAC_E,2530.82
BIL,LL,1978,PAC_E,3.00
SFA,LL,1975,PAC_W,2145.43
SWO,LL,2004,ATL,25283.00
BET,BB,1963,ATL,5331.81
SWO,LL,1977,PAC_W,9589.03
YFT,LL,1976,ATL,20211.47
SKJ,LL,1981,PAC_E,19.76
BFT,PS,1991,PAC_E,420.77
YFT,BB,1992,PAC_E,3481.69
SFA,LL,1994,IND,90.00
BET,LL,1988,ATL,40446.03
BFT,PS,2001,PAC_E,888.12
ALB,LL,1963,IND,12556.90
SKJ,PS,1984,ATL,74015.88
SBF,LL,1996,IND,5608.00
BFT,OTHER_A,2002,ATL,718.87
YFT,OTHER_A,2004,ATL,242.09
YFT,GILL,1996,IND,35370.58
YFT,BB,1985,PAC_E,1043.79
SKJ,OTHER_A,2005,ATL,0.32
YFT,PS,1973,PAC_W,14824.14
YFT,PS,1983,PAC_W,103269.14
BFT,LL,1976,ATL,5853.24
BET,LL,1989,IND,27617.84
ALB,PS,1982,ATL,160.80
SWO,LL,2002,ATL,23448.25
YFT,PS,1968,PAC_E,86099.63
SBF,LL,1977,IND,20493.61
ALB,BB,1986,PAC_E,85.80
BET,LL,1979,PAC_W,63552.52
YFT,PS,1993,IND,124992.07
SKJ,PS,1966,ATL,40.16
YFT,PS,1991,PAC_E,225571.55
BUM,LL,1978,PAC_W,8837.70
YFT,BB,2003,PAC_W,11819.58
BET,PS,1996,IND,23053.26
BLM,LL,1998,PAC_E,155.57
BET,PS,1973,PAC_W,849.31
BET,PS,1983,PAC_W,4031.34
SKJ,BB,1979,ATL,39807.34
SKJ,BB,1998,IND,79880.65
BET,OTHER_A,2004,ATL,8.69
SKJ,PS,1994,PAC_E,61320.34
BET,BB,1985,PAC_E,2.00
SBF,LL,1991,PAC_E,1.01
SSP,LL,2002,PAC_W,256.45
SBF,LL,1993,IND,3564.61
MLS,LL,1997,ATL,719.97
SBF,GILL,1989,IND,5.97
YFT,PS,1996,IND,116364.89
BET,PS,1991,PAC_E,4707.60
BET,BB,2003,PAC_W,1774.81
SWO,LL,1995,PAC_E,3133.26
BFT,LL,1988,ATL,2908.48
SBF,LL,1962,IND,31904.23
BET,PS,1993,IND,16006.80
YFT,LL,1979,PAC_W,108370.93
ALB,LL,1978,ATL,35339.54
BET,PS,1968,PAC_E,4538.34
MLS,LL,1958,IND,1785.39
SBF,LL,1973,PAC_W,10785.72
SBF,LL,1983,PAC_W,4597.64
YFT,LL,1989,IND,26953.09
SKJ,OTHER_I,1984,IND,339.74
BUM,LL,1970,ATL,1965.70
ALB,LL,1977,PAC_E,10436.20
SKJ,OTHER_A,1986,ATL,174.77
YFT,PS,1992,ATL,99905.57
SFA,LL,1979,IND,138.46
SFA,LL,1989,PAC_W,1385.21
SKJ,BB,1980,PAC_W,324592.86
BUM,LL,1967,PAC_E,1441.47
BFT,LL,1999,ATL,4965.76
SKJ,PS,1990,IND,106828.06
ALB,LL,1996,PAC_E,6814.80
SWO,OTHER_A,1999,ATL,255.50
BET,OTHER_I,1992,IND,2.58
YFT,PS,1981,PAC_W,58175.29
MLS,LL,2002,ATL,262.56
YFT,BB,2001,ATL,7384.83
ALB,BB,1975,ATL,1515.70
SSP,LL,1997,PAC_W,264.48
SKJ,OTHER_I,1987,IND,293.86
YFT,LL,1980,ATL,15579.99
ALB,PS,1989,PAC_E,1.00
BUM,LL,1974,PAC_W,7245.15
SWO,LL,1997,ATL,30952.19
ALB,LL,1962,PAC_E,5749.88
SBF,LL,1981,PAC_W,10472.29
BUM,LL,2004,PAC_E,2593.80
SKJ,PS,1987,ATL,52477.78
ALB,LL,1970,PAC_W,48929.58
BLM,LL,1982,PAC_W,2027.99
YFT,PS,1963,PAC_E,45683.67
SWO,GILL,1994,IND,857.28
BUM,LL,1969,IND,3617.18
SBF,LL,1959,IND,48454.32
BLM,LL,2000,PAC_E,92.02
BET,PS,1992,ATL,15725.66
SKJ,BB,2000,IND,81736.66
BET,BB,2001,ATL,5691.63
YFT,LL,1950,PAC_W,12566.66
BET,LL,1980,ATL,34326.02
SBF,LL,1992,ATL,525.70
SWO,LL,1958,IND,728.94
SKJ,GILL,1990,IND,28183.43
ALB,LL,1968,IND,17563.34
ALB,LL,1974,ATL,33832.97
ALB,LL,1993,PAC_E,10664.61
YFT,OTHER_I,1992,IND,309.75
MLS,LL,1995,PAC_E,2833.44
BET,PS,1981,PAC_W,2637.59
ALB,LL,1991,IND,14080.30
BFT,OTHER_A,1997,ATL,759.22
BLM,LL,1961,PAC_W,1175.04
MLS,LL,1993,PAC_W,10397.71
BFT,PS,1963,PAC_E,12256.25
BET,BB,1968,ATL,658.42
SWO,LL,1981,IND,2237.14
ALB,LL,1995,PAC_W,60026.33
BET,LL,1999,ATL,51863.48
BUM,LL,2002,PAC_E,3009.98
SBF,LL,1985,ATL,1460.61
YFT,LL,1975,IND,24433.77
ALB,LL,2001,IND,31747.69
ALB,OTHER_A,1987,ATL,60.01
YFT,OTHER_I,1985,IND,200.57
YFT,LL,1994,PAC_W,75684.80
SWO,LL,1959,PAC_W,427.15
BET,BB,1991,ATL,5388.11
YFT,LL,1964,PAC_E,16634.75
MLS,LL,1967,ATL,668.26
SFA,LL,1990,PAC_E,5.97
MLS,LL,1973,IND,1214.48
MLS,LL,1983,IND,3928.89
SBF,LL,1958,PAC_W,6378.36
BLM,LL,2005,PAC_W,2012.24
SKJ,PS,1979,PAC_E,121653.31
MLS,LL,1962,PAC_W,15151.88
YFT,OTHER_A,1997,ATL,1367.06
MLS,LL,1970,PAC_E,11000.54
SKJ,BB,1994,ATL,25494.45
BET,PS,1985,ATL,1092.38
ALB,PS,1986,ATL,31.05
BET,LL,1964,PAC_E,44891.05
SKJ,LL,1973,PAC_E,199.27
SKJ,LL,1983,PAC_E,27.79
YFT,BB,1974,IND,5019.92
ALB,BB,2000,PAC_W,21501.90
BUM,LL,1995,ATL,2154.79
BET,LL,1994,PAC_W,76786.79
YFT,BB,1991,ATL,10939.68
YFT,LL,1999,ATL,18650.04
MLS,LL,1996,PAC_W,5831.25
BLM,LL,1971,PAC_W,3779.66
ALB,BB,1982,PAC_E,197.91
BET,LL,1975,IND,37051.43
YFT,PS,1985,ATL,36182.79
BIL,LL,1974,PAC_E,4.41
BET,OTHER_A,1997,ATL,11.00
BFT,LL,1980,ATL,4936.36
SKJ,PS,1965,ATL,64.41
MLS,LL,1977,PAC_W,2943.16
MLS,LL,2004,ATL,445.00
SKJ,BB,1984,PAC_E,2367.70
BLM,LL,1984,IND,487.35
SKJ,BB,1999,PAC_W,235062.87
BUM,LL,1962,ATL,7044.13
SKJ,OTHER_I,1988,IND,2066.24
ALB,LL,2004,ATL,21104.46
ALB,LL,1977,PAC_W,48746.99
SFA,LL,1972,PAC_W,1518.62
SSP,LL,2003,IND,23.02
BFT,LL,1984,ATL,3246.56
BUM,LL,1967,PAC_W,7312.49
SKJ,LL,2001,PAC_E,26.83
BLM,LL,1980,IND,462.36
SFA,LL,1989,PAC_E,192.66
SKJ,BB,1980,PAC_E,4390.21
ALB,PS,1998,ATL,91.02
YFT,PS,1981,PAC_E,165878.58
ALB,BB,2005,PAC_W,16088.10
ALB,PS,1972,PAC_E,451.22
BFT,LL,1966,ATL,2519.90
BFT,BB,1983,ATL,361.90
ALB,LL,1996,PAC_W,60998.48
SWO,OTHER_A,1984,ATL,85.91
YFT,LL,1957,PAC_W,39883.25
SBF,LL,1963,PAC_W,25125.66
BUM,LL,1993,ATL,1811.49
BUM,LL,1974,PAC_E,1180.00
SSP,LL,1997,PAC_E,240.02
BET,OTHER_A,1978,ATL,87.00
SKJ,PS,1976,ATL,32831.99
SKJ,BB,1982,IND,15273.99
BUM,LL,1977,ATL,353.05
ALB,LL,1970,PAC_E,5916.05
BLM,LL,1982,PAC_E,208.53
BUM,LL,2004,PAC_W,20238.90
SKJ,OTHER_I,1976,IND,475.56
SWO,OTHER_I,2005,IND,1.26
ALB,LL,1962,PAC_W,37326.53
ALB,LL,1973,IND,13940.72
ALB,LL,1983,IND,19255.95
ALB,OTHER_I,1998,IND,0.46
BLM,LL,2000,PAC_W,1316.11
ALB,LL,1967,ATL,24615.29
BIL,LL,2002,PAC_E,517.84
BUM,LL,1996,ATL,2861.41
YFT,OTHER_A,1978,ATL,291.70
MLS,LL,2001,IND,2269.92
SKJ,PS,1988,ATL,65264.89
BET,LL,1957,PAC_W,34751.97
BLM,LL,1961,PAC_E,385.86
MLS,LL,1995,PAC_W,7122.72
BET,PS,1981,PAC_E,14443.46
YFT,BB,2002,IND,16144.93
ALB,LL,1993,PAC_W,55587.62
SKJ,BB,1986,PAC_W,335768.88
BET,LL,1984,ATL,39171.02
BET,PS,1970,PAC_W,472.92
SBF,LL,1991,IND,4720.05
BUM,LL,2002,PAC_W,15019.49
SKJ,OTHER_A,1999,ATL,26.87
MLS,LL,1991,IND,2489.34
SKJ,PS,1975,PAC_W,11681.66
BET,PS,1962,PAC_E,302.44
ALB,PS,1990,PAC_E,39.02
ALB,LL,1995,PAC_E,5353.27
MLS,LL,1974,ATL,956.07
MLS,LL,1993,PAC_E,3251.09
SBF,LL,1974,ATL,2561.15
SKJ,BB,1972,ATL,16750.47
BIL,LL,2004,PAC_E,309.42
SWO,LL,1978,ATL,4710.51
SKJ,BB,1998,PAC_E,1002.25
YFT,LL,1964,PAC_W,45083.23
ALB,LL,1992,ATL,29310.30
YFT,OTHER_I,1974,IND,343.48
MLS,LL,1968,IND,3605.62
BUM,BB,1982,ATL,1.00
YFT,PS,1977,PAC_E,166289.32
SBF,LL,1968,IND,50404.25
BLM,LL,1998,IND,545.58
BET,BB,1997,PAC_W,3607.22
BFT,TRAP,1973,ATL,2.01
BET,PS,2003,ATL,11906.76
SKJ,PS,1994,IND,179104.56
SBF,BB,1999,IND,5414.94
BFT,LL,1986,ATL,1664.14
YFT,LL,1994,PAC_E,27212.80
YFT,GILL,1991,IND,4918.55
SFA,LL,1957,PAC_W,932.97
SFA,LL,1990,PAC_W,1515.87
SWO,OTHER_A,1986,ATL,10.10
ALB,LL,1959,IND,10406.92
SKJ,PS,1989,IND,126740.94
MLS,LL,2003,ATL,280.96
ALB,PS,1980,ATL,23.00
YFT,LL,1989,PAC_E,16092.27
SBF,LL,2003,ATL,1927.87
BET,LL,1966,ATL,17911.55
BET,PS,1991,IND,15594.49
YFT,BB,2004,IND,14267.24
ALB,OTHER_A,1988,ATL,57.02
YFT,PS,1996,PAC_E,230556.11
YFT,OTHER_I,2003,IND,297.73
SWO,LL,2001,PAC_W,15329.95
SBF,LL,1970,PAC_W,13959.06
MLS,LL,1970,PAC_W,7602.12
SKJ,BB,2005,IND,130481.29
BET,PS,1974,ATL,5294.95
BET,PS,1993,PAC_E,8394.66
BET,BB,1973,ATL,5773.64
BET,BB,1983,ATL,9340.89
YFT,LL,1972,PAC_W,61121.83
ALB,OTHER_A,2000,ATL,25.17
SKJ,BB,1964,ATL,2317.04
MLS,LL,1962,PAC_E,3680.87
SWO,LL,1995,IND,20850.23
ALB,LL,1981,PAC_W,47185.42
SKJ,PS,1979,PAC_W,51390.56
YFT,PS,2003,ATL,64472.79
YFT,BB,1985,IND,7350.51
BET,LL,1994,PAC_E,68149.11
ALB,BB,1988,PAC_E,271.49
BET,GILL,1991,IND,117.54
ALB,LL,2002,ATL,26538.17
BET,LL,1964,PAC_W,30666.90
ALB,BB,2000,PAC_E,28.99
SWO,GILL,1990,IND,203.64
BIL,LL,1967,PAC_E,19.03
BET,PS,1977,PAC_E,9600.17
YFT,BB,1997,PAC_W,12308.84
BLM,LL,1965,PAC_E,526.75
YFT,PS,1962,PAC_E,51277.57
BUM,LL,1992,PAC_W,8388.09
YFT,LL,1984,ATL,13993.08
SKJ,BB,1971,IND,28006.19
YFT,PS,1970,PAC_W,4276.44
ALB,BB,1982,PAC_W,29685.67
BFT,BB,1978,PAC_E,4.00
SKJ,GILL,1989,IND,24983.20
ALB,LL,1963,PAC_E,12798.73
BLM,LL,1971,PAC_E,450.05
MLS,LL,1996,PAC_E,2892.55
YFT,PS,1974,ATL,38637.44
YFT,PS,1993,PAC_E,212041.48
BIL,LL,1985,PAC_E,1.00
SKJ,OTHER_A,1998,ATL,69.20
YFT,BB,1973,ATL,12031.26
YFT,BB,1983,ATL,10141.10
BET,LL,1972,PAC_W,51027.85
BET,PS,1996,PAC_E,50766.28
YFT,LL,1966,ATL,22386.61
SWO,LL,1963,IND,1113.85
YFT,PS,1991,IND,104959.48
SKJ,LL,1991,PAC_E,32.21
SKJ,GILL,1994,IND,46171.19
BFT,PS,1981,PAC_E,1085.85
MLS,LL,1960,ATL,253.07
BUM,LL,1981,ATL,822.12
SKJ,BB,1999,PAC_E,2019.68
BET,LL,1989,PAC_E,67580.07
BLM,LL,1999,IND,453.94
SKJ,BB,1984,PAC_W,374983.00
ALB,BB,1987,PAC_W,19053.70
ALB,OTHER_A,1976,ATL,149.94
MLS,LL,1977,PAC_E,3110.77
SBF,BB,1998,IND,4229.09
SKJ,LL,1968,PAC_E,231.57
BET,BB,1986,ATL,10606.84
ALB,BB,1977,PAC_W,31807.47
BUM,LL,1971,ATL,2511.64
BET,PS,2000,PAC_W,31882.13
BUM,LL,1965,ATL,5751.19
SFA,LL,2004,IND,150.70
BET,PS,1988,PAC_W,2919.33
SBF,LL,1987,PAC_E,1.00
ALB,BB,2004,ATL,7238.32
MLS,LL,1987,PAC_E,7636.36
MLS,LL,1961,PAC_E,2032.99
SKJ,BB,2001,PAC_E,447.90
SKJ,LL,1980,PAC_E,25.53
BFT,PS,1965,PAC_E,6788.30
BET,PS,1982,PAC_E,6791.41
SWO,LL,1994,ATL,35939.28
YFT,LL,1959,ATL,44120.95
BLM,LL,2001,IND,616.68
YFT,LL,1978,PAC_E,9436.54
BFT,PS,1971,PAC_E,8348.14
YFT,PS,1976,PAC_W,14816.56
SWO,GILL,1997,IND,1280.61
BLM,LL,1995,PAC_W,1330.87
YFT,BB,1990,PAC_W,12914.43
BFT,BB,1984,ATL,3.22
ALB,OTHER_I,1991,IND,9.62
BFT,LL,1973,ATL,1386.70
BFT,LL,1983,ATL,3999.23
MLS,LL,1982,PAC_E,4707.30
SWO,LL,1989,ATL,31366.10
ALB,BB,1996,PAC_W,20351.76
BLM,LL,1981,PAC_E,237.94
YFT,LL,1992,IND,66046.96
ALB,LL,2005,PAC_W,77984.51
BFT,OTHER_A,1994,ATL,320.18
SKJ,PS,1992,PAC_E,76033.02
BET,LL,2002,IND,68306.70
SKJ,BB,1981,IND,19645.34
SBF,LL,2000,PAC_W,2100.32
SKJ,PS,1995,ATL,86432.83
MLS,LL,2000,PAC_W,4224.35
SWO,LL,1998,PAC_W,18607.19
BET,PS,1987,PAC_E,997.14
MLS,LL,1956,IND,1976.16
SBF,LL,1956,IND,14780.48
SBF,LL,1988,PAC_W,2388.96
MLS,LL,1988,PAC_W,7107.86
BET,LL,1978,PAC_E,67855.75
BET,PS,1976,PAC_W,1073.24
ALB,LL,1965,PAC_W,28678.93
SKJ,OTHER_I,1995,IND,1336.05
BET,BB,1990,PAC_W,3905.44
BLM,LL,1963,PAC_W,2096.33
ALB,LL,1971,PAC_W,45990.72
BUM,LL,1979,PAC_E,1762.37
BET,LL,1959,ATL,1479.38
YFT,PS,1982,PAC_E,113694.55
BUM,LL,1972,IND,3187.99
SWO,LL,1984,PAC_E,2678.53
YFT,PS,1988,PAC_W,94691.61
ALB,PS,1991,ATL,8.00
ALB,LL,1966,IND,13060.16
SWO,LL,1999,PAC_W,19765.66
BFT,PS,1979,ATL,1382.25
YFT,BB,1986,ATL,6237.79
ALB,PS,1997,PAC_E,1.01
SKJ,TRAP,1997,ATL,1.01
YFT,PS,2000,PAC_W,195097.51
SWO,LL,1966,PAC_E,2040.25
BFT,LL,1969,PAC_E,1.00
BUM,LL,1964,IND,2999.40
YFT,PS,1987,PAC_E,241010.97
ALB,LL,1984,IND,16092.05
SKJ,OTHER_A,2001,ATL,56.40
BUM,LL,2005,ATL,1554.12
SKJ,PS,1963,ATL,2999.29
BUM,OTHER_A,2003,ATL,1.19
BFT,PS,1975,ATL,2032.03
SSP,LL,1994,PAC_W,129.58
SKJ,PS,2002,PAC_E,136184.77
BET,LL,1992,IND,34469.32
BUM,LL,1975,PAC_E,894.89
MLS,LL,1976,PAC_W,3476.78
SFA,LL,1997,PAC_W,746.75
ALB,BB,1993,PAC_W,12845.31
YFT,LL,2002,IND,49967.05
SBF,LL,1976,PAC_W,10856.16
BFT,PS,2005,PAC_E,4531.03
SFA,LL,1985,IND,56.76
ALB,BB,1985,ATL,7137.36
SBF,LL,1980,IND,18611.20
YFT,PS,1961,PAC_E,79816.69
MLS,LL,1980,IND,5837.11
ALB,PS,2003,IND,1496.17
BFT,PS,1982,PAC_E,3138.38
ALB,BB,1995,PAC_E,465.47
ALB,LL,1952,PAC_W,22404.38
ALB,LL,1976,PAC_E,2414.41
BET,OTHER_A,1989,ATL,114.04
SKJ,OTHER_I,1970,IND,633.06
YFT,GILL,1999,IND,37029.96
BET,BB,1984,ATL,9871.26
BET,PS,1971,PAC_E,4260.85
SBF,LL,1999,IND,6334.43
SKJ,OTHER_A,1991,ATL,79.00
BET,LL,1985,IND,42288.63
MLS,LL,1999,IND,2340.08
BFT,BB,1986,ATL,28.10
YFT,BB,1994,PAC_E,3606.37
YFT,PS,1979,ATL,48998.21
SKJ,LL,1998,PAC_E,48.78
SFA,LL,1992,IND,38.28
SKJ,BB,1977,IND,13664.34
BUM,LL,1982,ATL,1896.09
BET,LL,1997,PAC_W,65837.59
ALB,BB,1992,ATL,6306.00
BLM,LL,1977,PAC_E,604.73
YFT,PS,1998,IND,97003.46
YFT,PS,1975,ATL,58683.53
ALB,PS,2001,ATL,262.97
BET,PS,1999,IND,40089.21
YFT,BB,1989,PAC_E,4142.14
SFA,LL,1978,PAC_E,874.69
BUM,LL,1961,ATL,3768.21
BFT,PS,1987,PAC_E,978.36
YFT,LL,1969,PAC_E,14970.05
BUM,LL,1987,ATL,1122.32
BFT,PS,1961,PAC_E,8107.87
BET,GILL,1998,IND,290.70
SWO,LL,1976,IND,1855.49
YFT,PS,2005,PAC_E,242015.14
ALB,BB,1981,PAC_W,27387.68
BET,LL,1973,ATL,26812.47
BET,LL,1983,ATL,30396.85
MLS,LL,1965,PAC_E,9931.33
YFT,BB,1972,PAC_W,7130.47
BET,OTHER_A,1994,ATL,217.30
SWO,LL,1980,PAC_W,8716.60
BET,BB,1966,ATL,795.50
MLS,LL,1971,PAC_E,10183.94
BLM,LL,1996,PAC_E,92.16
YFT,LL,2004,IND,80419.76
SKJ,PS,2004,PAC_E,161985.61
BET,LL,1967,IND,24041.18
SKJ,BB,1996,IND,66712.22
ALB,LL,2000,PAC_E,6586.34
SKJ,BB,1973,PAC_W,250633.62
SKJ,BB,1983,PAC_W,297204.99
ALB,BB,2002,ATL,10538.09
BET,PS,1979,ATL,5482.00
SFA,LL,2002,IND,123.68
BET,PS,1998,IND,27955.33
YFT,LL,1997,PAC_W,72573.22
SKJ,PS,1974,PAC_W,11117.33
YFT,LL,1985,IND,29433.07
MLS,LL,1975,ATL,957.62
ALB,LL,1988,PAC_E,9189.95
SBF,LL,1975,ATL,635.15
SKJ,PS,1985,PAC_E,47645.76
YFT,BB,1984,ATL,11011.16
ALB,LL,1982,PAC_W,43838.10
YFT,OTHER_A,1989,ATL,2099.25
BET,GILL,1999,IND,84.00
BLM,LL,1970,PAC_W,3542.68
YFT,OTHER_I,1975,IND,346.73
SBF,PS,2004,IND,5172.47
BFT,LL,1978,PAC_E,6.29
YFT,PS,1971,PAC_E,102795.41
BFT,LL,1959,ATL,256.14
SWO,LL,1986,PAC_E,3215.30
BLM,LL,1962,PAC_E,450.73
YFT,PS,1965,PAC_E,63154.92
SWO,LL,1955,IND,480.23
BUM,LL,1957,IND,3822.42
SKJ,PS,1967,PAC_E,102224.92
BET,LL,2004,IND,86126.02
ALB,LL,1961,PAC_W,32234.25
YFT,OTHER_A,1994,ATL,1577.49
BLM,LL,1991,IND,457.81
BUM,LL,1990,IND,1652.42
SKJ,BB,1991,PAC_E,1647.43
YFT,LL,1967,IND,33576.16
SKJ,PS,2003,PAC_W,1069718.28
BLM,LL,1993,PAC_E,207.08
YFT,GILL,1998,IND,29279.58
SKJ,BB,1997,ATL,31253.51
YFT,LL,1973,ATL,13378.35
YFT,LL,1983,ATL,10946.32
YFT,OTHER_I,1979,IND,731.01
ALB,LL,1986,IND,13914.70
SKJ,BB,1993,IND,57976.92
BET,BB,1972,PAC_W,1763.89
BET,PS,2005,PAC_E,50817.45
BLM,LL,1968,IND,645.56
SBF,LL,1998,IND,6252.14
MLS,LL,1998,IND,2826.07
ALB,OTHER_A,1995,ATL,1041.53
MLS,LL,1979,ATL,403.39
BET,LL,1969,PAC_E,51505.30
MLS,LL,1953,IND,307.18
SWO,LL,2000,IND,19989.60
SBF,LL,1979,ATL,6183.58
SBF,LL,1953,IND,3740.23
SKJ,LL,1999,PAC_E,185.26
SWO,LL,1988,IND,6859.09
BET,PS,1975,ATL,3636.94
SKJ,PS,1970,ATL,23106.13
ALB,LL,1987,PAC_W,33275.57
YFT,PS,1999,IND,132129.40
SBF,LL,1987,PAC_W,3061.90
MLS,LL,1987,PAC_W,5291.21
BFT,LL,1997,PAC_E,2.01
BET,PS,1988,PAC_E,1272.62
BFT,LL,1991,ATL,4155.74
BET,PS,2000,PAC_E,76372.43
YFT,GILL,1986,IND,7085.65
ALB,LL,1979,ATL,32964.89
SKJ,PS,1981,ATL,61030.63
ALB,LL,1953,IND,1094.26
ALB,OTHER_A,1993,ATL,52.20
ALB,LL,1998,IND,25580.24
BLM,LL,1995,PAC_E,145.92
YFT,BB,1990,PAC_E,2605.62
SBF,LL,1986,IND,11299.79
SFA,LL,1969,PAC_W,2202.80
MLS,LL,1986,IND,6912.10
SWO,LL,2005,IND,18498.74
SWO,LL,1964,ATL,2496.56
YFT,PS,1976,PAC_E,208379.90
SKJ,BB,1995,IND,69668.28
YFT,LL,1978,PAC_W,109894.05
BFT,BB,1999,ATL,56.40
BET,PS,1982,PAC_W,3397.08
BFT,LL,1968,ATL,284.87
SBF,LL,1961,PAC_W,18379.38
MLS,LL,1961,PAC_W,306.09
SKJ,BB,2001,PAC_W,162844.69
SKJ,PS,1992,PAC_W,697148.78
YFT,LL,1954,IND,21570.78
BET,PS,1986,IND,10135.92
BLM,LL,1981,PAC_W,2000.38
ALB,PS,2004,IND,251.20
SBF,LL,1982,PAC_W,5540.39
MLS,LL,1982,PAC_W,4402.63
SBF,LL,1988,PAC_E,0.45
SWO,OTHER_A,1991,ATL,1.61
YFT,LL,2001,ATL,17013.77
ALB,LL,1975,ATL,29475.97
MLS,LL,1988,PAC_E,5219.36
YFT,BB,1980,ATL,2963.52
BET,PS,1987,PAC_W,6385.88
SKJ,BB,1978,ATL,37128.78
SWO,LL,1998,PAC_E,6528.21
BUM,OTHER_A,2004,ATL,3.82
SWO,LL,1972,ATL,2785.41
SBF,LL,2000,PAC_E,0.55
ALB,PS,1969,PAC_E,8.00
BET,OTHER_A,1990,ATL,105.08
MLS,LL,2000,PAC_E,1566.57
YFT,PS,1982,PAC_W,72592.03
BLM,LL,1963,PAC_E,793.13
ALB,LL,1971,PAC_E,6709.54
BUM,LL,1979,PAC_W,9396.85
BUM,OTHER_A,1985,ATL,8.00
ALB,LL,1965,PAC_E,3875.63
BET,PS,1976,PAC_E,16933.53
BET,LL,1978,PAC_W,56099.40
SSP,LL,1989,PAC_E,0.04
YFT,PS,2000,PAC_E,241919.30
BUM,LL,1989,IND,3032.63
ALB,BB,2003,ATL,4196.97
SWO,LL,1999,PAC_E,5186.03
ALB,PS,1985,IND,725.43
SWO,LL,1984,PAC_W,9963.29
ALB,OTHER_A,1996,ATL,358.09
YFT,PS,1988,PAC_E,256618.21
SFA,LL,2003,IND,107.53
SSP,LL,1994,PAC_E,218.26
BUM,LL,1994,IND,3349.67
YFT,OTHER_A,1990,ATL,1740.43
BET,LL,2001,ATL,45705.06
ALB,LL,1999,IND,25553.80
SWO,LL,1966,PAC_W,9852.47
BET,BB,1980,ATL,9371.10
YFT,PS,1987,PAC_W,151936.05
SWO,LL,1971,IND,1978.17
ALB,BB,1974,ATL,1199.01
MLS,LL,1976,PAC_E,6432.08
SKJ,LL,1986,PAC_E,55.29
SFA,LL,1997,PAC_E,765.90
BET,LL,1954,IND,6752.91
ALB,OTHER_A,1977,ATL,149.91
SWO,LL,1965,IND,1500.96
SBF,LL,1952,PAC_W,0.30
SKJ,PS,2002,PAC_W,1096629.96
ALB,PS,1983,ATL,396.33
SKJ,OTHER_I,1981,IND,412.74
YFT,PS,1986,IND,72540.25
BUM,LL,1975,PAC_W,7060.37
BUM,LL,2000,ATL,2016.37
ALB,LL,1980,IND,13475.94
BET,PS,1971,PAC_W,693.07
BET,BB,1999,ATL,5678.93
SBF,PS,2003,IND,5596.34
YFT,BB,1975,IND,4558.32
ALB,PS,1978,PAC_E,156.09
ALB,LL,1976,PAC_W,44894.17
BUM,LL,1988,ATL,1694.52
ALB,BB,1995,PAC_W,20995.38
BET,LL,1968,ATL,16604.98
SKJ,BB,1969,ATL,9448.70
SWO,LL,1990,ATL,32070.66
BET,LL,1997,PAC_E,51073.96
BFT,PS,1988,PAC_E,1382.32
BLM,LL,1977,PAC_W,2426.48
BET,LL,1974,IND,12882.53
SKJ,PS,1996,ATL,74165.95
SBF,LL,1984,IND,16602.05
MLS,LL,1984,IND,3820.78
YFT,BB,1994,PAC_W,13481.46
BET,LL,1991,ATL,45898.41
BFT,PS,2000,PAC_E,3715.95
BIL,LL,1979,PAC_E,6.01
YFT,LL,1969,PAC_W,51496.38
SFA,LL,1978,PAC_W,2491.48
SWO,LL,1957,ATL,134.11
SBF,LL,1966,IND,33487.48
BUM,OTHER_A,1992,ATL,160.20
BFT,OTHER_A,1990,ATL,14.98
MLS,LL,1966,IND,4091.33
YFT,BB,1989,PAC_W,14102.93
BET,PS,1984,IND,3561.00
SKJ,PS,2004,PAC_W,1171179.99
ALB,TROL,2003,ATL,46.12
YFT,LL,1960,IND,35955.94
SWO,LL,1980,PAC_E,3708.72
SKJ,PS,1960,PAC_E,12669.49
SBF,LL,1971,PAC_W,18103.74
BET,LL,2003,IND,81360.86
